Year,Unrestricted,Shall-issue,May-issue,No-issue
1986,1,8,25,16
1987,1,9,24,16
1988,1,9,24,16
1989,1,13,21,15
1990,1,15,20,14
1991,1,16,19,14
1992,1,16,19,14
1993,1,16,19,14
1994,1,20,17,12
1995,1,27,14,8
1996,1,30,12,7
1997,1,30,12,7
1998,1,30,12,7
1999,1,30,12,7
2000,1,30,12,7
2001,1,31,11,7
2002,1,31,11,7
2003,2,34,9,5
2004,2,34,9,5
2005,2,35,9,4
2006,2,37,9,2
2007,2,37,9,2
2008,2,37,9,2
2009,2,37,9,2
2010,3,36,9,2
2011,4,37,8,1
2012,4,37,8,1
2013,5,37,8,0
2014,5,37,8,0
2015,7,35,8,0
2016,11,31,8,0
2017,13,29,8,0