State,Congressional District,Active Loans,Average Borrower Gross Income,Very Low Income,Low Income,Moderate Income,Average Debt Ratio,"American Indian/
HI,02,"2,951","78,281.73",89,648,"2,127",0,78,916,36,"1,142","1,105",182,"1,678",1.2,3.1,"2,515",42,31,600,645,0,"1,706","2,183",592,176,0,"1,221","288,163.63","283,297.52",0.99,"290,209.42"
IA,01,"3,076","49,859.20",139,769,"2,136",0,6,7,4,8,"3,053",40,"1,013",0.6,2,"2,524",34,17,10,4,1,"3,061","2,861",15,200,0,"1,344","96,463.15","95,964.69",0.98,"97,762.30"
IA,02,"4,099","50,549.28",205,"1,063","2,741",0,3,23,43,2,"4,029",100,"1,512",0.7,2.1,"3,350",36,23,25,182,0,"3,892","3,466",279,354,0,"1,323","99,690.80","98,672.66",0.98,"100,430.15"
IA,03,"2,441","57,520.00",69,554,"1,700",0,3,16,13,4,"2,405",55,"1,077",0.8,2.3,"1,844",36,9,20,9,0,"2,412","2,187",77,177,0,"1,326","110,700.35","108,329.76",0.98,"111,296.76"
IA,04,"6,070","48,147.10",250,"1,626","4,059",0,12,81,29,10,"5,943",386,"2,232",0.5,1.8,"5,130",35,29,8,12,2,"6,048","5,381",170,519,0,"1,340","85,155.23","84,248.30",0.98,"86,134.01"
IA,17,1,"75,996.00",0,0,1,0,0,0,0,0,1,0,1,3,5,0,47,0,0,0,0,1,1,0,0,0,"2,061","223,730.00","223,730.00",0.99,"227,000.00"
ID,01,"4,579","50,629.24",125,"1,178","3,204",0,38,28,11,13,"4,494",202,"2,191",0.9,2.3,"3,649",38,43,"1,638",25,2,"2,914","4,319",65,195,1,"1,378","145,032.48","144,052.66",0.97,"142,134.09"
ID,02,"5,203","49,952.46",368,"1,215","3,560",0,43,25,6,8,"5,108",769,"3,133",1.2,2.8,"4,044",37,35,323,19,1,"4,860","4,809",206,188,0,"1,395","133,443.30","132,733.22",0.98,"134,170.33"
IL,01,12,"67,969.58",0,0,12,0,0,0,0,0,12,0,4,0.6,2.3,10,39,0,0,0,0,12,12,0,0,0,"1,465","154,862.25","154,862.25",1.00,"155,758.33"
IL,02,365,"56,155.64",8,113,243,0,1,1,11,0,352,14,134,0.8,2.3,275,38,0,9,3,0,353,343,15,7,0,"1,460","129,365.72","129,333.60",0.98,"131,015.84"
IL,03,2,"50,685.00",0,1,1,0,0,0,0,0,2,0,2,2.5,3.5,1,50,0,0,0,0,2,2,0,0,0,"1,559","125,981.00","125,981.00",1.00,"125,250.00"
IL,04,1,"34,192.00",0,0,1,0,0,0,0,0,1,0,1,0,2,0,,0,0,0,0,1,1,0,0,0,"1,551","45,900.00","45,900.00",1.02,"45,000.00"
IL,05,1,"52,361.00",0,0,1,0,0,0,0,0,1,0,0,0,1,1,24,0,0,0,0,1,1,0,0,0,"1,452","67,857.14","67,857.14",1.01,"67,000.00"
IL,06,4,"39,781.25",2,1,1,0,0,0,1,0,3,0,1,0.5,1.8,4,34,1,0,0,1,3,4,0,0,0,"1,365","116,995.75","115,806.39",1.02,"117,750.00"
IL,08,1,"42,660.00",0,0,1,0,0,0,0,0,1,0,0,0,1,1,24,0,0,0,0,1,1,0,0,0,"1,456","124,480.00","124,480.00",1.02,"122,000.00"
IL,11,16,"64,259.94",0,3,13,0,0,0,0,0,16,3,6,1.3,2.7,12,40,0,7,0,0,9,15,0,1,0,"1,413","162,898.13","162,898.13",1.01,"162,272.19"
IL,12,"3,813","49,117.71",195,827,"2,664",0,7,9,102,3,"3,693",45,"1,459",0.7,2.1,"2,971",37,13,42,15,4,"3,752","3,413",51,349,0,"1,374","93,485.44","91,705.13",0.97,"95,721.87"
IL,13,"4,064","46,439.08",344,"1,134","2,502",0,7,4,10,4,"4,043",39,"1,450",0.7,2.2,"3,130",37,22,21,2,1,"4,040","3,604",16,444,0,"1,342","82,348.57","81,706.49",0.98,"84,716.07"
IL,14,429,"60,576.37",20,125,284,0,1,1,5,0,422,49,185,0.9,2.5,362,37,2,86,1,0,342,347,70,12,0,"1,568","128,952.38","128,939.58",0.98,"132,525.34"
IL,15,"8,601","46,937.41",590,"2,399","5,404",0,18,14,73,7,"8,500",127,"3,289",0.7,2.2,"6,662",37,29,44,23,3,"8,531","7,643",102,856,0,"1,388","82,499.25","81,632.68",0.98,"84,529.60"
IL,16,"5,223","50,074.93",332,"1,591","3,180",0,9,17,42,3,"5,154",264,"1,846",0.8,2.2,"4,204",37,31,69,17,0,"5,137","4,615",166,442,0,"1,390","97,360.64","96,534.03",0.98,"99,260.68"
IL,17,"4,523","45,664.55",388,"1,296","2,730",0,7,15,53,2,"4,449",187,"1,506",0.8,2.3,"3,594",38,22,26,14,1,"4,482","4,217",46,260,0,"1,343","78,282.19","77,635.48",0.98,"80,049.43"
IL,18,"6,593","48,914.33",395,"1,778","4,282",0,11,12,54,1,"6,516",91,"2,559",0.8,2.3,"4,952",37,23,72,11,4,"6,506","5,878",131,584,0,"1,385","91,169.62","90,401.77",0.98,"93,223.78"
IL,,1,"42,867.00",0,0,1,0,0,0,0,0,1,0,1,2,4,1,42,0,0,0,0,1,1,0,0,0,944,"40,500.00","40,500.00",0.96,"42,000.00"
IN,01,358,"56,324.56",6,73,278,0,1,0,2,0,356,15,144,0.9,2.5,294,35,3,34,0,0,324,327,29,2,0,"1,369","141,383.12","141,343.81",0.99,"140,372.80"
IN,02,"2,665","49,391.85",176,675,"1,760",0,7,6,16,2,"2,633",91,"1,212",1,2.5,"2,158",37,24,91,2,16,"2,556","2,562",12,91,0,"1,490","104,262.83","103,420.35",0.99,"104,310.89"
IN,03,"5,757","48,588.73",382,"1,529","3,747",0,6,9,42,5,"5,684",174,"2,182",0.8,2.3,"4,651",37,48,470,2,0,"5,285","5,570",30,157,0,"1,490","101,092.06","100,455.53",0.99,"100,438.34"
IN,04,"5,904","50,829.98",353,"1,471","3,987",0,5,22,43,4,"5,827",152,"2,522",0.8,2.3,"4,678",38,33,588,8,1,"5,307","5,662",47,195,0,"1,564","109,351.11","108,770.17",0.99,"109,378.77"
IN,05,"2,060","50,411.23",149,559,"1,340",0,4,6,51,0,"2,000",42,867,0.8,2.3,"1,719",38,9,467,4,0,"1,589","2,011",15,34,0,"1,649","108,646.92","108,443.31",1.00,"108,644.77"
IN,06,"5,176","49,243.73",336,"1,368","3,396",0,4,8,29,5,"5,126",62,"2,085",0.8,2.3,"4,196",37,28,186,18,2,"4,970","4,930",38,208,0,"1,492","100,852.54","100,282.42",0.98,"101,828.87"
IN,07,7,"47,762.00",1,3,1,0,0,0,0,0,7,2,5,0.3,1.4,4,39,0,2,0,0,5,5,0,2,0,"1,851","141,857.40","121,969.57",0.99,"142,000.00"
IN,08,"5,009","48,116.33",322,"1,262","3,313",0,9,11,26,2,"4,946",98,"1,971",0.7,2.1,"3,889",36,27,58,5,2,"4,944","4,630",52,327,0,"1,439","94,584.04","93,569.75",0.99,"95,027.69"
IN,09,"6,003","49,743.14",318,"1,583","4,020",0,4,20,59,5,"5,902",92,"2,552",0.8,2.2,"4,618",38,35,402,6,1,"5,594","5,729",63,211,0,"1,407","112,955.43","112,366.13",0.99,"113,017.69"
IN,21,1,"56,753.00",0,0,1,0,0,0,0,0,1,0,0,0,1,1,,0,0,0,0,1,1,0,0,0,"1,612","78,571.00","78,571.00",1.02,"77,000.00"
KS,01,"4,983","49,391.23",327,"1,630","2,919",0,12,23,62,3,"4,870",440,"2,393",1,2.5,"3,872",36,15,28,2,0,"4,953","4,521",39,423,0,"1,303","88,905.96","87,955.48",0.98,"90,242.24"
KS,02,"3,871","50,157.55",334,"1,255","2,211",0,60,9,54,5,"3,746",113,"1,738",0.9,2.5,"3,019",38,15,84,0,0,"3,787","3,531",75,265,0,"1,422","91,835.75","90,958.02",0.98,"92,766.10"
KS,03,"1,190","61,858.39",68,378,742,0,10,6,22,6,"1,152",49,606,0.9,2.5,923,37,2,257,0,1,932,"1,088",91,11,0,"1,360","150,398.84","150,356.74",0.99,"147,843.97"
KS,04,"2,249","52,754.56",140,658,"1,426",0,12,11,27,1,"2,197",93,"1,028",1,2.6,"1,754",37,9,188,0,0,"2,061","2,161",14,74,0,"1,309","99,512.75","99,046.81",0.99,"100,313.41"
KY,01,"5,797","47,048.21",397,884,"4,417",0,5,8,157,4,"5,617",72,"2,671",0.6,1.7,"4,463",36,47,19,1,2,"5,775","5,237",22,538,1,"1,442","92,921.65","92,267.22",0.97,"94,545.42"
KY,02,"6,292","49,063.13",232,"1,128","4,807",0,5,20,180,3,"6,058",81,"2,576",0.6,1.9,"4,884",36,60,189,14,0,"6,089","5,645",62,585,0,"1,373","112,559.01","111,629.34",0.98,"113,100.48"
KY,03,38,"54,091.32",1,6,31,0,0,0,1,0,37,0,15,0.3,1.5,26,44,0,4,1,0,33,34,3,1,0,"1,341","140,806.16","141,237.64",0.97,"137,447.13"
KY,04,"5,208","55,708.69",101,"1,014","4,004",0,6,23,116,5,"5,043",91,"2,339",0.7,2.1,"3,984",37,41,436,164,0,"4,608","4,682",202,324,2,"1,425","129,705.04","128,624.67",0.99,"129,838.95"
KY,05,"4,403","46,666.07",167,616,"3,491",0,1,5,37,6,"4,325",47,"2,393",0.6,1.8,"3,547",37,88,20,8,1,"4,374","3,804",24,575,5,"1,431","96,734.70","95,516.21",0.95,"99,535.27"
KY,06,"5,468","51,592.30",154,"1,107","4,108",0,8,21,143,5,"5,272",93,"2,541",0.6,1.8,"4,106",37,32,381,4,2,"5,081","4,922",70,476,0,"1,426","119,132.74","118,187.43",0.98,"119,745.56"
LA,01,"5,418","53,281.68",41,335,"5,010",0,23,28,615,5,"4,761",135,"1,750",0.7,2.1,"4,670",36,16,500,35,0,"4,883","5,186",117,115,1,"1,570","146,876.92","146,586.61",0.99,"148,120.26"
LA,02,"2,413","52,192.36",23,203,"2,133",0,3,13,"1,074",3,"1,323",81,609,0.8,2.1,"2,142",37,5,200,11,1,"2,201","2,266",34,113,0,"1,534","142,462.12","141,257.84",0.99,"143,727.89"
LA,03,"6,630","53,906.05",51,473,"6,042",0,15,36,995,10,"5,603",100,"2,328",0.8,2.2,"5,692",35,17,342,5,2,"6,281","6,362",48,220,34,"1,531","136,172.86","135,521.06",0.99,"137,402.09"
LA,04,"4,790","51,587.04",68,401,"4,265",0,13,10,"1,100",10,"3,666",71,"2,008",0.9,2.3,"3,911",38,23,310,3,9,"4,468","4,547",29,214,37,"1,660","130,388.30","129,672.87",0.98,"133,406.67"
LA,05,"6,992","49,418.57",163,697,"6,021",0,14,20,"1,691",11,"5,267",95,"3,097",1.2,2.4,"5,728",39,19,29,1,0,"6,962","6,565",66,361,16,"1,634","118,474.48","117,540.88",0.98,"121,022.70"
LA,06,"9,884","55,307.91",45,567,"9,196",0,42,55,"1,786",25,"7,995",189,"2,975",0.7,2.1,"8,481",36,19,"1,175",37,3,"8,669","9,502",125,257,3,"1,560","157,003.55","156,533.15",1.00,"157,465.02"
LA,12,1,"49,920.00",0,0,1,0,0,0,0,0,1,0,1,0,2,1,,0,0,0,0,1,1,0,0,0,"1,543","134,999.00","134,999.00",1.00,"135,000.00"
MA,01,"1,165","67,772.60",48,278,815,0,6,6,15,2,"1,140",54,475,0.7,2.3,984,38,7,5,18,0,"1,142","1,112",21,32,0,"1,396","171,763.96","169,836.10",0.98,"171,318.86"
MA,02,"1,801","68,175.79",67,452,"1,247",0,4,11,26,0,"1,767",59,745,0.7,2.3,"1,526",37,8,9,92,0,"1,700","1,659",97,45,0,"1,362","178,435.06","176,632.75",0.98,"177,970.08"
MA,03,546,"71,402.63",28,99,408,0,1,9,13,2,524,26,237,0.8,2.4,473,37,6,5,29,0,512,498,36,12,0,"1,422","186,101.32","184,213.77",0.99,"187,416.20"
MA,04,620,"73,847.42",8,113,498,0,1,3,12,0,604,12,243,0.8,2.3,526,38,2,1,111,0,508,514,104,2,0,"1,304","225,978.17","226,046.25",1.00,"227,101.84"
MA,05,29,"79,762.48",0,5,24,0,0,0,2,0,27,2,13,0.9,2.3,24,38,0,0,6,0,23,23,6,0,0,"1,131","233,248.86","233,248.86",0.99,"236,379.31"
MA,06,41,"81,446.90",0,4,37,0,0,0,0,0,41,1,22,1,2.8,38,39,1,0,6,0,35,35,6,0,0,"1,295","254,423.88","254,689.52",0.99,"256,268.29"
MA,08,173,"78,364.27",1,27,145,0,1,0,8,0,165,3,69,0.8,2.4,148,37,1,1,34,0,138,146,27,0,0,"1,313","239,615.79","239,497.81",0.99,"239,615.08"
MA,09,"1,703","71,994.12",38,359,"1,246",0,2,8,38,2,"1,656",42,658,0.7,2.2,"1,419",38,9,10,120,0,"1,573","1,527",110,66,0,"1,272","228,734.39","224,189.27",0.99,"230,704.38"
MD,00,1,"27,456.00",0,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,1,1,0,0,0,807,"70,380.00","70,380.00",1.01,"70,000.00"
MD,01,"5,647","63,082.67",251,"1,298","4,018",0,13,29,430,13,"5,169",121,"2,091",0.6,2.1,"4,756",36,16,807,90,1,"4,749","4,842",529,276,2,"1,482","179,331.91","178,252.50",0.97,"182,445.47"
MD,02,66,"75,246.23",1,12,51,0,3,8,17,1,43,2,23,0.5,1.9,53,36,0,13,39,0,14,13,51,2,0,"1,597","257,422.88","251,863.66",1.01,"255,456.19"
MD,03,4,"82,187.50",0,1,3,0,0,0,0,0,4,0,2,1.3,2.8,3,33,0,0,0,0,4,4,0,0,0,"1,450","228,145.50","228,145.50",0.96,"239,107.50"
MD,04,14,"84,192.29",0,1,13,0,0,0,4,0,10,0,3,1,2.3,10,41,0,2,7,0,5,5,9,0,0,"1,832","319,836.00","318,634.05",1.01,"318,264.21"
MD,05,"4,717","72,952.75",149,886,"3,630",0,20,53,991,15,"3,674",114,"1,402",0.7,2.1,"4,035",36,13,"1,884",156,0,"2,677","3,690",909,118,2,"1,523","232,629.68","231,567.38",0.98,"235,628.97"
MD,06,"2,169","62,292.56",111,541,"1,502",0,4,20,69,2,"2,079",31,911,0.7,2.3,"1,860",36,7,265,27,1,"1,876","1,862",221,86,0,"1,440","158,342.03","158,151.94",0.98,"160,087.84"
MD,07,59,"77,618.31",2,11,45,0,0,1,1,0,57,1,26,0.7,2.4,48,33,0,4,1,0,54,51,7,1,0,"1,410","262,444.53","259,944.83",0.99,"265,629.38"
MD,08,"1,457","75,192.90",47,233,"1,150",0,2,12,45,2,"1,401",37,611,0.7,2.3,"1,194",35,5,361,131,0,965,"1,023",404,30,0,"1,420","236,120.31","233,856.59",0.99,"237,422.32"
ME,01,"7,288","56,672.75",78,"2,077","4,981",0,17,51,34,7,"7,191",78,"2,752",0.6,2.2,"6,126",38,42,72,280,0,"6,936","6,670",270,348,0,"1,313","156,891.62","155,411.28",0.97,"159,586.67"
ME,02,"7,282","48,459.67",139,"2,132","4,705",0,22,23,18,6,"7,219",52,"2,881",0.7,2.1,"6,184",37,78,13,15,0,"7,254","6,339",43,900,1,"1,334","112,527.83","110,165.29",0.96,"116,358.81"
MI,01,"8,227","43,852.46",705,"3,546","3,759",0,87,17,19,8,"8,104",61,"3,178",0.7,2.1,"6,434",36,40,41,108,0,"8,078","7,181",122,924,0,"1,278","94,603.79","93,448.10",0.95,"93,850.60"
MI,02,"2,638","48,241.58",133,889,"1,588",0,7,10,15,1,"2,604",93,"1,227",0.8,2.4,"2,114",36,15,37,26,0,"2,575","2,476",16,146,0,"1,354","104,951.56","104,483.54",0.97,"105,761.99"
MI,03,"4,154","49,745.55",159,"1,233","2,720",0,8,10,33,2,"4,104",89,"1,796",0.8,2.3,"3,324",37,19,61,99,0,"3,994","3,949",63,142,0,"1,349","107,877.74","107,422.63",0.97,"107,911.01"
MI,04,"7,624","44,570.75",475,"2,563","4,460",0,19,11,30,4,"7,560",122,"2,948",0.7,2.2,"6,218",36,45,35,32,0,"7,557","6,907",65,652,0,"1,355","87,811.52","87,323.63",0.96,"88,742.27"
MI,05,"4,751","47,958.52",231,"1,448","3,045",0,6,13,94,3,"4,639",71,"1,779",0.8,2.2,"3,964",38,26,16,151,1,"4,583","4,461",132,158,0,"1,396","94,413.82","94,247.28",0.98,"94,835.70"
MI,06,"5,645","48,168.93",272,"1,676","3,567",0,17,23,86,6,"5,516",145,"2,380",0.8,2.3,"4,605",36,25,24,62,0,"5,559","5,221",51,373,0,"1,370","102,900.80","101,940.65",0.97,"103,217.88"
MI,07,"5,801","51,482.67",349,"1,700","3,665",0,7,14,32,5,"5,746",110,"2,345",0.8,2.3,"4,715",37,33,50,110,0,"5,641","5,505",78,218,0,"1,446","105,153.39","104,575.66",0.97,"106,365.56"
MI,08,"3,741","60,308.59",152,932,"2,612",0,13,10,27,2,"3,693",51,"1,704",0.9,2.4,"2,916",38,9,129,244,0,"3,368","3,506",139,96,0,"1,524","138,496.41","138,015.86",0.98,"139,228.42"
MI,09,2,"58,890.00",0,0,2,0,0,0,0,0,2,0,0,0.5,1.5,1,,0,0,0,0,2,2,0,0,0,495,"141,050.00","141,050.00",0.39,"54,500.00"
MI,10,"3,733","49,503.20",258,"1,194","2,243",0,8,4,10,2,"3,712",71,"1,591",0.9,2.4,"3,014",37,14,17,52,0,"3,664","3,510",46,177,0,"1,485","101,314.24","101,061.78",0.97,"102,827.97"
MI,11,318,"58,952.14",8,73,231,0,1,1,1,0,316,6,137,0.9,2.4,241,38,1,9,22,0,287,281,21,16,0,"1,430","141,220.45","140,473.85",0.98,"141,055.43"
MI,12,317,"64,827.75",10,62,244,0,0,0,49,1,268,8,148,0.9,2.5,258,39,1,46,22,0,249,307,6,4,0,"1,718","146,266.20","146,288.52",0.99,"147,039.91"
MI,13,3,"77,433.33",0,0,3,0,0,1,0,0,2,0,2,0.7,2.3,1,33,0,0,0,0,3,3,0,0,0,"1,359","149,967.67","149,967.67",0.95,"157,666.67"
MI,14,1,"56,200.00",0,0,1,0,0,0,0,0,1,0,0,2,3,0,,0,0,0,0,1,1,0,0,0,"1,958","158,000.00","158,000.00",0.94,"168,000.00"
MN,00,3,"58,180.07",0,0,3,0,0,0,0,0,3,0,2,2.3,4,0,,0,0,0,0,3,1,0,2,0,"1,095","158,414.67","158,414.67",0.97,"161,000.00"
MN,01,"6,614","50,443.48",683,"1,961","3,738",0,9,100,36,3,"6,447",334,"2,282",0.7,2.2,"5,022",36,25,49,35,1,"6,529","5,684",149,781,0,"1,293","110,907.42","109,046.01",0.96,"109,575.31"
MN,02,"1,477","58,117.39",136,382,934,0,2,8,7,0,"1,463",24,536,0.8,2.3,"1,126",37,6,66,34,0,"1,377","1,288",116,73,0,"1,312","145,970.15","144,646.44",0.97,"144,676.17"
MN,03,3,"61,861.33",0,0,3,0,0,0,1,0,2,0,2,0.7,2.3,2,31,0,0,0,0,3,2,0,1,0,"1,419","165,311.67","165,311.67",0.99,"167,333.33"
MN,05,1,,0,0,0,,0,0,0,0,1,0,0,2,3,0,,0,0,0,0,1,0,0,1,0,,,"92,900.00",,
MN,06,"4,807","61,680.09",409,"1,148","3,120",0,14,19,27,6,"4,752",69,"2,012",0.8,2.4,"3,607",36,13,281,24,1,"4,501","4,283",277,247,0,"1,197","155,428.89","153,967.28",0.95,"149,706.49"
MN,07,"8,759","48,294.64",905,"2,523","5,106",0,64,46,19,16,"8,611",311,"3,118",0.7,2.2,"6,967",36,40,45,21,0,"8,693","7,559",145,"1,055",0,"1,287","102,639.34","101,312.68",0.97,"102,137.03"
MN,08,"5,980","51,540.54",718,"1,668","3,478",0,29,19,23,8,"5,914",62,"2,129",0.8,2.3,"4,840",37,46,111,5,0,"5,864","5,494",145,341,0,"1,222","120,457.13","119,562.95",0.97,"119,953.66"
MN,10,1,"28,548.00",0,1,0,0,0,0,0,0,1,0,1,2,4,1,,0,0,0,0,1,1,0,0,0,"1,155","62,000.00","62,000.00",0.87,"71,000.00"
MO,01,1,"31,800.00",0,1,0,0,0,0,0,0,1,0,1,3,5,0,43,0,1,0,0,0,1,0,0,0,"1,014","92,343.00","92,343.00",0.94,"98,459.00"
MO,02,27,"58,019.02",0,4,21,0,0,0,0,0,26,1,13,0.4,1.9,22,40,1,10,3,0,14,20,4,3,0,"1,552","151,807.12","145,524.93",0.97,"144,095.84"
MO,03,"6,286","51,986.04",258,"1,681","4,263",0,15,16,66,8,"6,196",93,"2,637",0.8,2.3,"4,914",37,41,"1,336",60,0,"4,890","5,918",195,173,1,"1,353","122,292.56","121,543.83",0.98,"122,363.36"
MO,04,"6,885","47,689.92",269,"1,558","4,858",0,27,23,85,8,"6,746",209,"3,199",0.8,2.4,"5,301",37,39,191,7,0,"6,687","6,364",66,455,1,"1,370","100,789.83","99,390.15",0.98,"101,363.19"
MO,05,"1,790","51,593.34",72,322,"1,319",0,3,9,26,3,"1,752",75,727,0.8,2.3,"1,428",37,15,59,1,0,"1,730","1,597",29,164,0,"1,315","103,571.74","101,436.70",0.98,"104,415.20"
MO,06,"4,051","51,160.82",172,993,"2,768",0,7,10,44,3,"3,985",75,"1,837",0.8,2.4,"3,059",37,22,238,3,0,"3,810","3,656",119,276,0,"1,363","103,647.80","101,984.25",0.98,"104,315.65"
MO,07,"7,935","48,415.56",304,"1,680","5,880",0,26,37,48,20,"7,791",330,"4,150",0.9,2.5,"6,117",38,58,380,19,4,"7,532","7,446",108,381,0,"1,423","103,893.17","103,532.29",0.98,"104,053.44"
MO,08,"8,153","46,689.88",291,"1,702","6,049",0,14,13,166,5,"7,961",84,"3,810",0.8,2.4,"6,452",38,87,319,4,4,"7,826","7,669",79,405,0,"1,400","96,831.25","96,199.19",0.97,"98,421.21"
MS,01,"7,295","49,112.05",142,"1,028","6,031",0,14,27,"1,580",7,"5,661",133,"3,392",0.8,2.2,"5,658",38,37,425,6,0,"6,864","6,723",55,517,0,"1,630","112,207.33","111,535.31",0.97,"115,031.76"
MS,02,"3,895","48,206.96",71,598,"3,193",0,5,10,"1,929",3,"1,948",25,"1,501",0.8,2.2,"3,254",40,27,97,1,0,"3,797","3,558",190,147,0,"1,612","110,843.98","110,533.27",0.97,"113,774.51"
